ProductID,ProductName,Category,OptimalPrice,ExpectedRevenue,MAE,RMSE
P0045,Animi Beverage (Local),Beverages,143.81,523.41,317.992965102539,402.76574753465934
P0046,Oranges (Premium),Fruits,299.48,1282.7,603.665528014323,710.5529590869057
P0047,Sunflower Oil 1L (Premium),Staples,79.14,375.03,120.90354763264973,147.87765303817974
P0048,Alias Snack (BrandX),Snacks,93.52,333.94,185.42270063802087,225.90991446442297
P0049,Apples (Local),Fruits,52.1,236.6,69.68979797851561,90.95306270983693
P0050,Tempore Beverage (Local),Beverages,14.0,75.61,27.962783321329756,32.89205350755997
P0051,Fresh Tomatoes (Premium),Vegetables,263.38,1012.17,515.7567952392579,647.7726664049782
P0052,Nisi Snack (BrandX),Snacks,99.95,278.83,170.5903130769857,193.35085280654482
P0053,Vitae Cleaning Supplie (Local),Cleaning Supplies,147.95,367.11,196.2683937288412,269.93046353576386
P0054,Illo Beverage (Local),Beverages,182.64,650.31,339.5610627539062,439.4925815507969
P0055,Coriander Leaves (BrandX),Vegetables,139.87,564.02,220.4950102661133,289.21587425645913
P0056,Sapiente Cleaning Supplie (Premium),Cleaning Supplies,111.75,389.79,203.66543260009766,248.79283015175238
P0057,Mangoes (Local),Fruits,166.21,515.11,277.4216344726563,348.66150513886913
P0058,Oranges (BrandX),Fruits,126.71,429.93,275.06072544433596,360.1243284600986
P0059,Mangoes (BrandX),Fruits,110.01,253.98,161.79865213256835,210.86473183410592
P0060,Amul Milk 1L (BrandX),Dairy,220.96,763.72,417.50107481445315,540.9724089686276
P0061,Sunt Snack (BrandX),Snacks,103.25,494.59,216.76722403564452,284.1680237188037
P0062,Mangoes (Local),Fruits,278.35,1115.1,547.5027728808593,655.319970697383
P0063,Basmati Rice 5kg (Local),Staples,8.63,30.09,15.703447945149739,19.685982251759967
P0064,Vel Personal Car (Local),Personal Care,216.63,788.54,307.45482441080736,391.20780083138635
P0065,Onions (Local),Vegetables,42.0,158.95,71.19211028157552,84.82420429061771
P0066,Mangoes (Premium),Fruits,281.69,955.67,496.35412007486974,616.8783628539212
P0067,Paneer 200g (Local),Dairy,202.39,856.66,285.97541562581387,339.23676790051053
P0068,Reprehenderit Cleaning Supplie (Local),Cleaning Supplies,286.22,879.69,429.361998704427,535.9611991429754
P0069,Accusantium Snack (BrandX),Snacks,173.02,714.12,354.1873252278646,433.8428728809546
P0070,Amet Cleaning Supplie (Premium),Cleaning Supplies,49.79,162.15,88.58105934051514,110.91861261692746
P0071,Fresh Tomatoes (Premium),Vegetables,20.11,64.02,26.108412190399175,31.445943377906133
P0072,Ladyfinger (Local),Vegetables,168.25,451.4,251.52426246256513,331.9356236042484
P0073,Consectetur Snack (Premium),Snacks,64.25,199.15,154.721628207194,180.67359841072326
P0074,Nemo Personal Car (Premium),Personal Care,38.87,77.49,63.93286947998046,78.66244980771259
P0075,Repellat Personal Car (Premium),Personal Care,122.79,336.45,233.1221687691244,287.53236702779765
P0076,Pomegranates (Local),Fruits,103.4,315.29,232.74766488769532,269.0447333675337
P0077,Onions (Premium),Vegetables,180.36,632.93,178.54900843668617,218.20909838147506
P0078,Consectetur Snack (BrandX),Snacks,8.09,43.84,14.583686109110513,17.857992587146907
P0079,Blanditiis Snack (BrandX),Snacks,141.16,458.95,256.41946406412757,312.2396546202553
P0080,Butter 100g (Local),Dairy,268.58,916.36,612.7655248437499,747.7768467229076
P0081,Mangoes (BrandX),Fruits,104.73,306.34,222.76560176350912,267.2242713685158
P0082,Maiores Snack (Local),Snacks,141.81,551.75,262.69517660156254,309.17604049092876
P0083,Apples (BrandX),Fruits,177.98,611.32,282.98466427124015,355.49447961614237
P0084,Apples (BrandX),Fruits,248.77,945.85,562.7624109488933,654.5763422315588
P0085,Molestiae Beverage (Premium),Beverages,139.23,415.05,301.4889822884115,342.9847966448384
P0086,Labore Personal Car (Local),Personal Care,134.18,462.29,212.46590411376954,271.73666017065625
P0087,Curd 500g (BrandX),Dairy,221.61,1020.39,402.2552106575521,510.91870266568566
P0088,Dicta Beverage (BrandX),Beverages,8.85,32.8,17.339154788004556,21.047791908253615
P0089,Odio Personal Car (BrandX),Personal Care,163.05,676.23,397.992105756836,458.60759338864995
P0090,Omnis Personal Car (Local),Personal Care,215.89,824.45,453.32007917806004,527.4339896973931
P0091,Sit Personal Car (Premium),Personal Care,243.94,1118.99,546.8613982763671,664.2803304841767
P0092,Dicta Beverage (Local),Beverages,246.06,953.82,556.3376059293621,663.7186696212384
P0093,Wheat Flour 10kg (Premium),Staples,120.6,436.41,237.73953994710283,303.4990702893396
P0094,Oranges (Local),Fruits,117.33,583.68,265.0167602335612,341.2325481977591
P0095,Fresh Tomatoes (BrandX),Vegetables,271.01,782.12,431.2019557796224,512.9817842270218
P0096,Impedit Personal Car (BrandX),Personal Care,116.3,563.6,213.10384059895839,255.4594953762058
P0097,Iste Cleaning Supplie (BrandX),Cleaning Supplies,119.65,382.23,234.99949364664718,284.1595214656632
P0098,Est Snack (BrandX),Snacks,221.04,726.41,355.14156285319007,472.9617000214544
P0099,Toor Dal 1kg (BrandX),Staples,225.21,727.38,333.95782967447917,408.72879844062544
P0100,Potatoes (BrandX),Vegetables,151.57,581.06,255.26948101643882,308.53358812259756
